"Date","Price","Open","High","Low","Change %"
"Jun 12, 2017","-0.722","-0.742","-0.707","-0.751","-1.50%"
"Jun 09, 2017","-0.733","-0.741","-0.716","-0.746","0.27%"
"Jun 08, 2017","-0.731","-0.710","-0.691","-0.740","1.39%"
"Jun 07, 2017","-0.721","-0.717","-0.707","-0.739","-1.37%"
"Jun 06, 2017","-0.731","-0.711","-0.648","-0.740","3.39%"
"Jun 05, 2017","-0.707","-0.715","-0.686","-0.722","-0.42%"
"Jun 02, 2017","-0.710","-0.705","-0.705","-0.729","0.00%"
"Jun 01, 2017","-0.710","-0.723","-0.694","-0.723","-0.84%"
"May 31, 2017","-0.716","-0.696","-0.686","-0.718","0.70%"
"May 30, 2017","-0.711","-0.711","-0.690","-0.729","-0.84%"
"May 29, 2017","-0.717","-0.675","-0.675","-0.719","5.44%"
"May 26, 2017","-0.680","-0.674","-0.664","-0.688","1.04%"
"May 25, 2017","-0.673","-0.649","-0.649","-0.675","3.22%"
"May 24, 2017","-0.652","-0.627","-0.627","-0.661","0.93%"
"May 23, 2017","-0.646","-0.632","-0.616","-0.658","-4.30%"
"May 22, 2017","-0.675","-0.690","-0.652","-0.697","-1.17%"
"May 19, 2017","-0.683","-0.694","-0.662","-0.694","-1.87%"
"May 18, 2017","-0.696","-0.697","-0.666","-0.710","1.61%"
"May 17, 2017","-0.685","-0.663","-0.642","-0.689","3.95%"
"May 16, 2017","-0.659","-0.675","-0.641","-0.683","-2.80%"
"May 15, 2017","-0.678","-0.667","-0.656","-0.689","-0.15%"
"May 12, 2017","-0.679","-0.659","-0.644","-0.686","3.82%"
"May 11, 2017","-0.654","-0.659","-0.622","-0.670","-1.65%"
"May 10, 2017","-0.665","-0.668","-0.641","-0.678","-0.89%"
"May 09, 2017","-0.671","-0.650","-0.645","-0.676","3.39%"
"May 08, 2017","-0.649","-0.676","-0.649","-0.687","-2.99%"
"May 07, 2017","-0.669","-0.669","-0.669","-0.669","0.75%"
"May 05, 2017","-0.664","-0.700","-0.664","-0.714","-2.21%"
"May 04, 2017","-0.679","-0.711","-0.674","-0.721","-5.83%"
"May 03, 2017","-0.721","-0.713","-0.708","-0.731","0.56%"
"May 02, 2017","-0.717","-0.727","-0.701","-0.735","-1.65%"
"May 01, 2017","-0.729","-0.734","-0.721","-0.734","0.00%"
"Apr 28, 2017","-0.729","-0.734","-0.695","-0.737","-0.95%"
"Apr 27, 2017","-0.736","-0.688","-0.663","-0.747","6.67%"
"Apr 26, 2017","-0.690","-0.678","-0.669","-0.701","2.22%"
"Apr 25, 2017","-0.675","-0.685","-0.667","-0.694","-2.32%"
"Apr 24, 2017","-0.691","-0.745","-0.667","-0.745","-12.42%"
"Apr 22, 2017","-0.789","-0.789","-0.789","-0.789","0.00%"
"Apr 21, 2017","-0.789","-0.811","-0.770","-0.817","-0.13%"
"Apr 20, 2017","-0.790","-0.816","-0.764","-0.826","-1.25%"
"Apr 19, 2017","-0.800","-0.866","-0.781","-0.868","-6.54%"
"Apr 18, 2017","-0.856","-0.870","-0.836","-0.877","-0.23%"
"Apr 17, 2017","-0.858","-0.856","-0.835","-0.871","-0.12%"
"Apr 14, 2017","-0.859","-0.856","-0.835","-0.871","0.00%"
"Apr 13, 2017","-0.859","-0.856","-0.835","-0.871","2.38%"
"Apr 12, 2017","-0.839","-0.860","-0.824","-0.870","-1.18%"
"Apr 11, 2017","-0.849","-0.846","-0.818","-0.859","1.07%"
"Apr 10, 2017","-0.840","-0.807","-0.791","-0.845","4.22%"
"Apr 07, 2017","-0.806","-0.806","-0.775","-0.813","3.60%"
"Apr 06, 2017","-0.778","-0.804","-0.764","-0.814","-2.02%"
"Apr 05, 2017","-0.794","-0.788","-0.761","-0.806","0.89%"
"Apr 04, 2017","-0.787","-0.800","-0.780","-0.835","-1.99%"
"Apr 03, 2017","-0.803","-0.748","-0.733","-0.807","8.51%"
"Mar 31, 2017","-0.740","-0.747","-0.712","-0.754","1.23%"
"Mar 30, 2017","-0.731","-0.747","-0.716","-0.761","-2.14%"
"Mar 29, 2017","-0.747","-0.703","-0.683","-0.753","6.87%"
"Mar 28, 2017","-0.699","-0.707","-0.677","-0.722","-1.13%"
"Mar 27, 2017","-0.707","-0.741","-0.691","-0.767","-4.20%"
"Mar 26, 2017","-0.738","-0.738","-0.738","-0.738","-0.27%"
"Mar 24, 2017","-0.740","-0.733","-0.715","-0.745","1.09%"
"Mar 23, 2017","-0.732","-0.749","-0.724","-0.769","-3.81%"
"Mar 22, 2017","-0.761","-0.731","-0.726","-0.771","2.56%"
"Mar 21, 2017","-0.742","-0.776","-0.710","-0.780","-4.26%"
"Mar 20, 2017","-0.775","-0.754","-0.744","-0.783","0.26%"
"Mar 18, 2017","-0.773","-0.773","-0.773","-0.773","0.00%"
"Mar 17, 2017","-0.773","-0.738","-0.738","-0.781","-2.28%"
"Mar 16, 2017","-0.791","-0.801","-0.762","-0.821","-3.54%"
"Mar 15, 2017","-0.820","-0.798","-0.788","-0.822","1.36%"
"Mar 14, 2017","-0.809","-0.805","-0.782","-0.831","0.62%"
"Mar 13, 2017","-0.804","-0.825","-0.803","-0.834","-3.37%"
"Mar 10, 2017","-0.832","-0.849","-0.808","-0.858","-2.80%"
"Mar 09, 2017","-0.856","-0.840","-0.823","-0.866","1.06%"
"Mar 08, 2017","-0.847","-0.861","-0.829","-0.878","-2.76%"
"Mar 07, 2017","-0.871","-0.834","-0.823","-0.877","5.83%"
"Mar 06, 2017","-0.823","-0.813","-0.806","-0.828","2.24%"
"Mar 03, 2017","-0.805","-0.850","-0.801","-0.850","-3.01%"
"Mar 02, 2017","-0.830","-0.826","-0.823","-0.853","0.36%"
"Mar 01, 2017","-0.827","-0.878","-0.818","-0.898","-7.70%"
"Feb 28, 2017","-0.896","-0.912","-0.890","-0.926","-2.93%"
"Feb 27, 2017","-0.923","-0.943","-0.915","-0.954","-2.02%"
"Feb 24, 2017","-0.942","-0.927","-0.915","-0.964","3.97%"
"Feb 23, 2017","-0.906","-0.889","-0.871","-0.919","3.07%"
"Feb 22, 2017","-0.879","-0.866","-0.866","-0.919","1.97%"
"Feb 21, 2017","-0.862","-0.845","-0.841","-0.867","2.13%"
"Feb 20, 2017","-0.844","-0.807","-0.797","-0.858","4.46%"
"Feb 17, 2017","-0.808","-0.770","-0.765","-0.819","5.07%"
"Feb 16, 2017","-0.769","-0.790","-0.766","-0.796","-2.90%"
"Feb 15, 2017","-0.792","-0.801","-0.782","-0.806","0.00%"
"Feb 14, 2017","-0.792","-0.797","-0.785","-0.805","0.51%"
"Feb 13, 2017","-0.788","-0.788","-0.780","-0.798","0.13%"
"Feb 10, 2017","-0.787","-0.772","-0.764","-0.789","2.08%"
"Feb 09, 2017","-0.771","-0.797","-0.771","-0.798","-1.91%"
"Feb 08, 2017","-0.786","-0.780","-0.771","-0.801","1.42%"
"Feb 07, 2017","-0.775","-0.783","-0.760","-0.788","1.04%"
"Feb 06, 2017","-0.767","-0.737","-0.733","-0.777","4.35%"
"Feb 03, 2017","-0.735","-0.729","-0.718","-0.746","0.27%"
"Feb 02, 2017","-0.733","-0.720","-0.710","-0.743","3.24%"
"Feb 01, 2017","-0.710","-0.693","-0.687","-0.715","1.72%"
"Jan 31, 2017","-0.698","-0.670","-0.666","-0.704","3.71%"
"Jan 30, 2017","-0.673","-0.659","-0.648","-0.680","1.82%"
"Jan 27, 2017","-0.661","-0.645","-0.645","-0.668","2.64%"
"Jan 26, 2017","-0.644","-0.644","-0.635","-0.659","-0.92%"
"Jan 25, 2017","-0.650","-0.670","-0.644","-0.673","-2.55%"
"Jan 24, 2017","-0.667","-0.679","-0.661","-0.688","-2.06%"
"Jan 23, 2017","-0.681","-0.683","-0.665","-0.687","0.74%"
"Jan 21, 2017","-0.676","-0.667","-0.667","-0.676","1.35%"
"Jan 20, 2017","-0.667","-0.707","-0.664","-0.713","-4.30%"
"Jan 19, 2017","-0.697","-0.718","-0.689","-0.722","-2.24%"
"Jan 18, 2017","-0.713","-0.728","-0.710","-0.735","-2.19%"
"Jan 17, 2017","-0.729","-0.734","-0.723","-0.750","-0.68%"
"Jan 16, 2017","-0.734","-0.722","-0.721","-0.744","3.09%"
"Jan 13, 2017","-0.712","-0.711","-0.699","-0.729","0.00%"
"Jan 12, 2017","-0.712","-0.719","-0.705","-0.727","0.00%"
"Jan 11, 2017","-0.712","-0.721","-0.702","-0.743","-1.25%"
"Jan 10, 2017","-0.721","-0.733","-0.720","-0.747","-1.37%"
"Jan 09, 2017","-0.731","-0.735","-0.727","-0.756","1.25%"
"Jan 06, 2017","-0.722","-0.734","-0.706","-0.755","-0.96%"
"Jan 05, 2017","-0.729","-0.786","-0.716","-0.800","-6.06%"
"Jan 04, 2017","-0.776","-0.806","-0.756","-0.811","0.26%"
"Jan 03, 2017","-0.774","-0.781","-0.767","-0.800","-0.90%"
"Jan 02, 2017","-0.781","-0.787","-0.772","-0.804","-0.13%"
"Dec 30, 2016","-0.782","-0.808","-0.771","-0.808","-0.38%"
"Dec 29, 2016","-0.785","-0.832","-0.783","-0.841","-3.33%"
"Dec 28, 2016","-0.812","-0.836","-0.809","-0.837","-0.98%"
"Dec 27, 2016","-0.820","-0.799","-0.790","-0.838","3.67%"
"Dec 23, 2016","-0.791","-0.800","-0.786","-0.805","0.51%"
"Dec 22, 2016","-0.787","-0.802","-0.775","-0.803","-0.25%"
"Dec 21, 2016","-0.789","-0.790","-0.776","-0.800","0.77%"
"Dec 20, 2016","-0.783","-0.799","-0.783","-0.806","-2.13%"
"Dec 19, 2016","-0.800","-0.786","-0.786","-0.808","0.88%"
"Dec 16, 2016","-0.793","-0.778","-0.770","-0.807","2.06%"
"Dec 15, 2016","-0.777","-0.764","-0.749","-0.786","1.04%"
"Dec 14, 2016","-0.769","-0.750","-0.746","-0.775","3.22%"
"Dec 13, 2016","-0.745","-0.743","-0.735","-0.767","0.40%"
"Dec 12, 2016","-0.742","-0.750","-0.729","-0.766","-2.24%"
"Dec 09, 2016","-0.759","-0.740","-0.730","-0.775","2.99%"
"Dec 08, 2016","-0.737","-0.667","-0.632","-0.764","8.86%"
"Dec 07, 2016","-0.677","-0.697","-0.659","-0.704","-2.59%"
"Dec 06, 2016","-0.695","-0.709","-0.694","-0.723","-2.25%"
"Dec 05, 2016","-0.711","-0.747","-0.692","-0.747","-3.66%"
"Dec 02, 2016","-0.738","-0.730","-0.713","-0.746","0.54%"
"Dec 01, 2016","-0.734","-0.741","-0.727","-0.757","0.82%"
"Nov 30, 2016","-0.728","-0.761","-0.719","-0.762","-3.06%"
"Nov 29, 2016","-0.751","-0.765","-0.742","-0.769","-0.92%"
"Nov 28, 2016","-0.758","-0.749","-0.747","-0.767","1.07%"
"Nov 25, 2016","-0.750","-0.739","-0.739","-0.759","2.04%"
"Nov 24, 2016","-0.735","-0.709","-0.700","-0.742","4.11%"
"Nov 23, 2016","-0.706","-0.730","-0.669","-0.747","-4.21%"
"Nov 22, 2016","-0.737","-0.680","-0.680","-0.739","8.22%"
"Nov 21, 2016","-0.681","-0.676","-0.664","-0.686","0.59%"
"Nov 19, 2016","-0.677","-0.667","-0.667","-0.677","1.50%"
"Nov 18, 2016","-0.667","-0.637","-0.628","-0.668","5.04%"
"Nov 17, 2016","-0.635","-0.633","-0.628","-0.640","0.32%"
"Nov 16, 2016","-0.633","-0.626","-0.618","-0.636","1.28%"
"Nov 15, 2016","-0.625","-0.619","-0.614","-0.634","1.96%"
"Nov 14, 2016","-0.613","-0.596","-0.583","-0.616","1.66%"
"Nov 11, 2016","-0.603","-0.607","-0.573","-0.615","-2.43%"
"Nov 10, 2016","-0.618","-0.625","-0.602","-0.635","-3.89%"
"Nov 09, 2016","-0.643","-0.641","-0.623","-0.666","1.58%"
"Nov 08, 2016","-0.633","-0.632","-0.617","-0.644","-0.94%"
"Nov 07, 2016","-0.639","-0.637","-0.616","-0.643","0.00%"
"Nov 04, 2016","-0.639","-0.627","-0.616","-0.648","1.43%"
"Nov 03, 2016","-0.630","-0.636","-0.615","-0.642","-0.94%"
"Nov 02, 2016","-0.636","-0.612","-0.612","-0.640","2.58%"
"Nov 01, 2016","-0.620","-0.615","-0.602","-0.626","0.32%"
"Oct 31, 2016","-0.618","-0.617","-0.602","-0.627","0.00%"
"Oct 28, 2016","-0.618","-0.620","-0.595","-0.628","-0.64%"
"Oct 27, 2016","-0.622","-0.637","-0.609","-0.641","-1.43%"
"Oct 26, 2016","-0.631","-0.647","-0.626","-0.654","-2.92%"
"Oct 25, 2016","-0.650","-0.652","-0.641","-0.658","-0.15%"
"Oct 24, 2016","-0.651","-0.649","-0.648","-0.670","-1.51%"
"Oct 21, 2016","-0.661","-0.665","-0.649","-0.672","-0.90%"
"Oct 20, 2016","-0.667","-0.663","-0.643","-0.674","-0.45%"
"Oct 19, 2016","-0.670","-0.664","-0.660","-0.678","0.60%"
"Oct 18, 2016","-0.666","-0.655","-0.651","-0.674","1.06%"
"Oct 17, 2016","-0.659","-0.658","-0.643","-0.666","0.30%"
"Oct 15, 2016","-0.657","-0.657","-0.657","-0.657","-0.30%"
"Oct 14, 2016","-0.659","-0.658","-0.647","-0.665","0.30%"
"Oct 13, 2016","-0.657","-0.672","-0.655","-0.676","0.77%"
"Oct 12, 2016","-0.652","-0.663","-0.651","-0.668","-2.69%"
"Oct 11, 2016","-0.670","-0.665","-0.658","-0.672","1.21%"
"Oct 10, 2016","-0.662","-0.661","-0.649","-0.669","-0.60%"
"Oct 07, 2016","-0.666","-0.665","-0.648","-0.675","-0.89%"
"Oct 06, 2016","-0.672","-0.678","-0.657","-0.684","0.30%"
"Oct 05, 2016","-0.670","-0.676","-0.660","-0.692","-1.62%"
"Oct 04, 2016","-0.681","-0.688","-0.675","-0.696","-1.59%"
"Oct 03, 2016","-0.692","-0.685","-0.679","-0.697","0.58%"
"Sep 30, 2016","-0.688","-0.698","-0.682","-0.710","-0.43%"
"Sep 29, 2016","-0.691","-0.695","-0.681","-0.695","-0.58%"
"Sep 28, 2016","-0.695","-0.696","-0.683","-0.713","-0.57%"
"Sep 27, 2016","-0.699","-0.686","-0.679","-0.717","2.49%"
"Sep 26, 2016","-0.682","-0.666","-0.666","-0.684","1.64%"
"Sep 25, 2016","-0.671","-0.671","-0.671","-0.671","0.00%"
"Sep 24, 2016","-0.671","-0.669","-0.669","-0.671","0.00%"
"Sep 23, 2016","-0.671","-0.663","-0.656","-0.675","0.00%"
"Sep 22, 2016","-0.671","-0.658","-0.658","-0.676","1.21%"
"Sep 21, 2016","-0.663","-0.657","-0.649","-0.669","0.30%"
"Sep 20, 2016","-0.661","-0.651","-0.650","-0.666","1.69%"
"Sep 19, 2016","-0.650","-0.654","-0.646","-0.663","-1.22%"
"Sep 17, 2016","-0.658","-0.658","-0.658","-0.658","0.77%"
"Sep 16, 2016","-0.653","-0.647","-0.643","-0.664","1.40%"
"Sep 15, 2016","-0.644","-0.646","-0.634","-0.655","-0.31%"
"Sep 14, 2016","-0.646","-0.620","-0.618","-0.652","3.69%"
"Sep 13, 2016","-0.623","-0.635","-0.621","-0.645","-1.58%"
"Sep 12, 2016","-0.633","-0.619","-0.614","-0.637","0.16%"
"Sep 09, 2016","-0.632","-0.643","-0.618","-0.647","-2.47%"
"Sep 08, 2016","-0.648","-0.657","-0.622","-0.678","-3.71%"
"Sep 07, 2016","-0.673","-0.664","-0.654","-0.678","0.00%"
"Sep 06, 2016","-0.673","-0.637","-0.634","-0.673","4.83%"
"Sep 05, 2016","-0.642","-0.631","-0.631","-0.643","1.74%"
"Sep 02, 2016","-0.631","-0.617","-0.616","-0.638","1.45%"
"Sep 01, 2016","-0.622","-0.613","-0.609","-0.628","0.65%"
"Aug 31, 2016","-0.618","-0.617","-0.613","-0.629","-0.48%"
"Aug 30, 2016","-0.621","-0.621","-0.611","-0.631","-0.32%"
"Aug 29, 2016","-0.623","-0.617","-0.604","-0.628","1.63%"
"Aug 26, 2016","-0.613","-0.614","-0.607","-0.621","0.16%"
"Aug 25, 2016","-0.612","-0.626","-0.608","-0.630","-1.77%"
"Aug 24, 2016","-0.623","-0.628","-0.620","-0.629","-0.80%"
"Aug 23, 2016","-0.628","-0.619","-0.615","-0.633","0.80%"
"Aug 22, 2016","-0.623","-0.610","-0.610","-0.625","2.47%"
"Aug 19, 2016","-0.608","-0.617","-0.606","-0.624","-2.09%"
"Aug 18, 2016","-0.621","-0.620","-0.602","-0.622","1.47%"
"Aug 17, 2016","-0.612","-0.609","-0.605","-0.618","0.82%"
"Aug 16, 2016","-0.607","-0.608","-0.603","-0.619","-0.16%"
"Aug 15, 2016","-0.608","-0.624","-0.607","-0.631","-3.49%"
"Aug 14, 2016","-0.630","-0.630","-0.630","-0.630","0.00%"
"Aug 13, 2016","-0.630","-0.630","-0.630","-0.630","0.96%"
"Aug 12, 2016","-0.624","-0.633","-0.613","-0.635","-0.16%"
"Aug 11, 2016","-0.625","-0.635","-0.620","-0.643","-0.79%"
"Aug 10, 2016","-0.630","-0.625","-0.616","-0.636","1.94%"
